Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,LabelThemes,Catalog,Filename,InternalID,UniqueEntryID
3D glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassThreed0.png,White,No,490,122,White,Colorful,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,party,For sale,AccessoryGlassThreed0,4463,FNxEraBTeWRiCvtFu
3D glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassThreed1.png,Black,No,490,122,Black,Colorful,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Active,party,For sale,AccessoryGlassThreed1,11020,mM9SXPCcGPfPJAmtm
bandage,https://acnhcdn.com/acdb/accessories/AccessoryMouthBandageSkin.png,Beige,No,140,35,Beige,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,AccessoryMouthBandageSkin,4677,2qFT5iPkk8bREvpkj
beak,https://acnhcdn.com/acdb/accessories/AccessoryMouthBeakYellow.png,Yellow,No,490,122,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,fairy tale; party; theatrical,For sale,AccessoryMouthBeakYellow,3549,T5CpsJi4xBSachNL5
birthday shades,https://acnhcdn.com/acdb/accessories/AccessoryGlassBirthday0.png,Yellow,No,NFS,620,Yellow,Red,1x1,Birthday,,1.0.0,Gorgeous,party,Not for sale,AccessoryGlassBirthday0,4510,S6CiB9ZvzBTMhEnDz
birthday shades,https://acnhcdn.com/acdb/accessories/AccessoryGlassBirthday1.png,Pink,No,NFS,620,Pink,Pink,1x1,Birthday,,1.0.0,Gorgeous,party,Not for sale,AccessoryGlassBirthday1,11217,g3MPcmAKM4z5h8KYX
birthday shades,https://acnhcdn.com/acdb/accessories/AccessoryGlassBirthday2.png,Red,No,NFS,620,Red,Pink,1x1,Birthday,,1.0.0,Gorgeous,party,Not for sale,AccessoryGlassBirthday2,11218,ojXoAAj8Bs2XgRiWB
birthday shades,https://acnhcdn.com/acdb/accessories/AccessoryGlassBirthday3.png,Blue,No,NFS,620,Light blue,Green,1x1,Birthday,,1.0.0,Gorgeous,party,Not for sale,AccessoryGlassBirthday3,11219,Yr9mRJaZM44554oTS
bottom-rimmed glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassLoose0.png,Red,No,1100,275,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; comfy; work,For sale,AccessoryGlassLoose0,4597,ZHqtvcoqqDpJLf9Pc
bottom-rimmed glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassLoose1.png,Purple,No,1100,275,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; comfy; work,For sale,AccessoryGlassLoose1,11081,akRhFD3qeJEPM7WiD
bottom-rimmed glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassLoose2.png,Green,No,1100,275,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; comfy; work,For sale,AccessoryGlassLoose2,11082,EtxJZDCgnqjWkETqK
bottom-rimmed glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassLoose3.png,Blue,No,1100,275,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; comfy; work,For sale,AccessoryGlassLoose3,11083,LEbiXtkHoiEMEtjWK
bottom-rimmed glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassLoose4.png,Yellow,No,1100,275,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; comfy; work,For sale,AccessoryGlassLoose4,11084,w7bEbAGSQTvur6D6f
bottom-rimmed glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassLoose5.png,Pink,No,1100,275,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; comfy; work,For sale,AccessoryGlassLoose5,11085,zpzD4NjApEyazKyKt
bottom-rimmed glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassLoose6.png,Black,No,1100,275,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; comfy; work,For sale,AccessoryGlassLoose6,11086,eT6KLntq43nCGFvB9
browline glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassThurmont0.png,Black,No,1040,260,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; formal,For sale,AccessoryGlassThurmont0,4238,gHxascFKEJNrLCtD9
browline glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassThurmont1.png,Brown,No,1040,260,Brown,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; formal,For sale,AccessoryGlassThurmont1,11069,9iqmzMJiAeQMBN3pk
browline glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassThurmont2.png,Green,No,1040,260,Green,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; formal,For sale,AccessoryGlassThurmont2,11070,f6h8aqEufzizYBWiH
browline glasses,https://acnhcdn.com/acdb/accessories/AccessoryGlassThurmont3.png,Gray,No,1040,260,Gray,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,everyday; formal,For sale,AccessoryGlassThurmont3,11071,R9rDoMEzPcBw75hLE
bubblegum,https://acnhcdn.com/acdb/accessories/AccessoryMouthBubblegum0.png,Pink,No,140,35,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,comfy,For sale,AccessoryMouthBubblegum0,5738,4SLmXuCkS4eBjPbLn
bubblegum,https://acnhcdn.com/acdb/accessories/AccessoryMouthBubblegum1.png,Blue,No,140,35,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,comfy,For sale,AccessoryMouthBubblegum1,11027,9wWYKTtMdo9pWqfsM
bubblegum,https://acnhcdn.com/acdb/accessories/AccessoryMouthBubblegum2.png,Yellow,No,140,35,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,comfy,For sale,AccessoryMouthBubblegum2,11028,79zoWzHvMBJYcwuAy
bubblegum,https://acnhcdn.com/acdb/accessories/AccessoryMouthBubblegum3.png,Green,No,140,35,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,comfy,For sale,AccessoryMouthBubblegum3,11029,F3PoMop5MGyaxtKjZ
bubblegum,https://acnhcdn.com/acdb/accessories/AccessoryMouthBubblegum4.png,White,No,140,35,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,comfy,For sale,AccessoryMouthBubblegum4,11030,r9N2a2TYhvXBKiihn
bunny nose,https://acnhcdn.com/acdb/accessories/AccessoryMouthRabbit0.png,Pink,No,560,140,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; party; theatrical,For sale,AccessoryMouthRabbit0,4600,bxWYgcp2YKCdKe8Cr
bunny nose,https://acnhcdn.com/acdb/accessories/AccessoryMouthRabbit1.png,Yellow,No,560,140,Yellow,Orange,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; party; theatrical,For sale,AccessoryMouthRabbit1,11023,y6Dp62aNQn5ixvkwf
bunny nose,https://acnhcdn.com/acdb/accessories/AccessoryMouthRabbit2.png,White,No,560,140,White,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; party; theatrical,For sale,AccessoryMouthRabbit2,11024,ci8RKqDmqS5wD3W5k
butterfly shades,https://acnhcdn.com/acdb/accessories/AccessoryGlassButterfly0.png,Blue,No,1040,260,Black,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,outdoorsy,For sale,AccessoryGlassButterfly0,4608,WjbaLp9JbBGYRrb6K
butterfly shades,https://acnhcdn.com/acdb/accessories/AccessoryGlassButterfly1.png,Red,No,1040,260,Red,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,outdoorsy,For sale,AccessoryGlassButterfly1,11503,AZrrNvHghPTHobKL4
butterfly shades,https://acnhcdn.com/acdb/accessories/AccessoryGlassButterfly2.png,Brown,No,1040,260,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,outdoorsy,For sale,AccessoryGlassButterfly2,11504,rz3Pgs5XGNiQFa3t4
candy-skull mask,https://acnhcdn.com/acdb/accessories/AccessoryGlassmouthCatrina0.png,Purple,No,NFS,800,White,Purple,1x1,Gulliver,,1.0.0,Gorgeous,formal; party; theatrical,Not for sale,AccessoryGlassmouthCatrina0,5666,GT3LzQZKg29riohcP
candy-skull mask,https://acnhcdn.com/acdb/accessories/AccessoryGlassmouthCatrina1.png,Orange,No,NFS,800,White,Orange,1x1,Gulliver,,1.0.0,Gorgeous,formal; party; theatrical,Not for sale,AccessoryGlassmouthCatrina1,11169,xyQdqFuAkXkNs9qQ5
candy-skull mask,https://acnhcdn.com/acdb/accessories/AccessoryGlassmouthCatrina2.png,Blue,No,NFS,800,White,Light blue,1x1,Gulliver,,1.0.0,Gorgeous,formal; party; theatrical,Not for sale,AccessoryGlassmouthCatrina2,11170,fev4af8sNdggceyW9
