Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Style,LabelThemes,Catalog
3d glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed0.png,white,No,490,122,white,colorful,Able Sisters,Available from Able Sisters shop only,active,party,fs
3d glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed1.png,black,No,490,122,black,colorful,Able Sisters,Available from Able Sisters shop only,active,party,fs
bandage,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBandageSkin.png,beige,No,140,35,beige,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
beak,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeakYellow.png,yellow,No,490,122,yellow,yellow,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cute,fairy tale; party; theatrical,fs
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday0.png,yellow,No,-1,620,yellow,red,Birthday,,gorgeous,party,nfs
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday1.png,pink,No,-1,620,pink,pink,Birthday,,gorgeous,party,nfs
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday2.png,red,No,-1,620,red,pink,Birthday,,gorgeous,party,nfs
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday3.png,blue,No,-1,620,light blue,green,Birthday,,gorgeous,party,nfs
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose0.png,red,No,1100,275,red,red,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy; work,fs
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose1.png,purple,No,1100,275,purple,purple,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy; work,fs
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,green,No,1100,275,green,green,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy; work,fs
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,blue,No,1100,275,blue,blue,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy; work,fs
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,yellow,No,1100,275,yellow,yellow,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy; work,fs
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,pink,No,1100,275,pink,pink,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy; work,fs
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose6.png,black,No,1100,275,black,black,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy; work,fs
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont0.png,black,No,1040,260,black,yellow,Able Sisters,Available from Able Sisters shop only,simple,everyday; formal,fs
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont1.png,brown,No,1040,260,brown,yellow,Able Sisters,Available from Able Sisters shop only,simple,everyday; formal,fs
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont2.png,green,No,1040,260,green,gray,Able Sisters,Available from Able Sisters shop only,simple,everyday; formal,fs
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont3.png,gray,No,1040,260,gray,yellow,Able Sisters,Available from Able Sisters shop only,simple,everyday; formal,fs
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum0.png,pink,No,140,35,pink,pink,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,comfy,fs
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum1.png,blue,No,140,35,light blue,light blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,comfy,fs
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum2.png,yellow,No,140,35,yellow,yellow,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,comfy,fs
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum3.png,green,No,140,35,green,green,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,comfy,fs
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum4.png,white,No,140,35,white,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,comfy,fs
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit0.png,pink,No,560,140,pink,pink,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; party; theatrical,fs
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit1.png,yellow,No,560,140,yellow,orange,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; party; theatrical,fs
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit2.png,white,No,560,140,white,red,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; party; theatrical,fs
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly0.png,blue,No,1040,260,black,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,outdoorsy,fs
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly1.png,red,No,1040,260,red,brown,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,outdoorsy,fs
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly2.png,brown,No,1040,260,brown,brown,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,outdoorsy,fs
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina0.png,purple,No,-1,800,white,purple,Gulliver,,gorgeous,formal; party; theatrical,nfs
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina1.png,orange,No,-1,800,white,orange,Gulliver,,gorgeous,formal; party; theatrical,nfs
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina2.png,blue,No,-1,800,white,light blue,Gulliver,,gorgeous,formal; party; theatrical,nfs
cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat0.png,white,No,560,140,white,pink,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; party; theatrical,fs
