Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,LabelThemes,Catalog,Filename,InternalID,UniqueEntryID
acorn pochette,https://acnhcdn.com/acdb/bags/BagShoulderAcorn0.png,Brown,Yes,NFS,2400,Brown,Green,1x1,Crafting,Fall seasonal DIY using acorns (from shaking trees),1.0.0,Cute,fairy tale,Not for sale,BagShoulderAcorn0,7492,XiC7bNzTBAdb8zWwr
basket pack,https://acnhcdn.com/acdb/bags/BagBackpackBasket0.png,Green,Yes,NFS,2400,Green,Green,1x1,Crafting,,1.0.0,Simple,outdoorsy; work,Not for sale,BagBackpackBasket0,7506,BW764rj9aH3QL6GRH
bug cage,https://acnhcdn.com/acdb/bags/BagShoulderCage0.png,Green,No,NFS,122,Green,White,1x1,Bug-Off,,1.0.0,Active,outdoorsy; vacation,Not for sale,BagShoulderCage0,7479,nrkEKkL46YsQYcYjp
Bunny Day bag,https://acnhcdn.com/acdb/bags/BagBackpackEgg0.png,None,Yes,NFS,2400,Colorful,Colorful,1x1,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0a,Active,fairy tale; party; theatrical,Not for sale,BagBackpackEgg0,12447,YGofzAZknSTYWmfWM
butterfly backpack,https://acnhcdn.com/acdb/bags/BagBackpackButterfly0.png,Pink,No,NFS,210,Pink,Yellow,1x1,Bug-Off,,1.0.0,Cute,everyday; formal; party,Not for sale,BagBackpackButterfly0,7502,unsmeHZemRaTnq62z
canvas backpack,https://acnhcdn.com/acdb/bags/BagBackpackTote0.png,White,No,1300,325,White,Orange,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagBackpackTote0,7509,ZtgYddBwpZfGMjewu
cherry-blossom pochette,https://acnhcdn.com/acdb/bags/BagShoulderCherryblossoms0.png,Pink,Yes,NFS,2400,Pink,Pink,1x1,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),1.0.0,Cute,fairy tale,Not for sale,BagShoulderCherryblossoms0,7490,wwkZdhj9HzxZiqHys
cloth shoulder bag,https://acnhcdn.com/acdb/bags/BagShoulderCanvas0.png,Blue,No,1400,350,Light blue,Light blue,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagShoulderCanvas0,7487,DzoRrArWrKtzn6Xzc
cloth shoulder bag,https://acnhcdn.com/acdb/bags/BagShoulderCanvas1.png,Orange,No,1400,350,Orange,Orange,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagShoulderCanvas1,12013,dcpCgBwji4QCYAy8k
cloth shoulder bag,https://acnhcdn.com/acdb/bags/BagShoulderCanvas2.png,Ivory,No,1400,350,White,White,1x1,Kicks,,1.0.0,Simple,everyday,For sale,BagShoulderCanvas2,12014,NfkYKg5NoaWKBEpzN
crossbody bag,https://acnhcdn.com/acdb/bags/BagBackpackBody0.png,Pink,No,700,175,Pink,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody0,7483,zXtyCFHwWjnChTami
crossbody bag,https://acnhcdn.com/acdb/bags/BagBackpackBody1.png,Green,No,700,175,Green,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody1,11980,tbfNwy8RmGztJdAnn
crossbody bag,https://acnhcdn.com/acdb/bags/BagBackpackBody2.png,Yellow,No,700,175,Yellow,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody2,11981,zX6ZX4puTojGuJgGj
crossbody bag,https://acnhcdn.com/acdb/bags/BagBackpackBody3.png,White,No,700,175,White,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackBody3,11982,FsyHb5QAf8DDvPC7y
crossbody boston bag,https://acnhcdn.com/acdb/bags/BagShoulderDrum0.png,Red,No,1680,420,Red,Black,1x1,Kicks,,1.0.0,Simple,everyday; outdoorsy; sporty,For sale,BagShoulderDrum0,7485,8MwDxuHHvYM3XJpmy
crossbody boston bag,https://acnhcdn.com/acdb/bags/BagShoulderDrum1.png,Blue,No,1680,420,Blue,Black,1x1,Kicks,,1.0.0,Simple,everyday; outdoorsy; sporty,For sale,BagShoulderDrum1,12011,w98ZrTQWiRMHyveaa
DAL backpack,https://acnhcdn.com/acdb/bags/BagBackpackDal0.png,Blue,No,NFS,1010,Blue,Black,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Cool,outdoorsy; vacation,Not for sale,BagBackpackDal0,12131,3mGmqSPj5YPujiDgD
dry bag,https://acnhcdn.com/acdb/bags/BagBackpackDry0.png,Yellow,No,1040,260,Yellow,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackDry0,7471,iwTpuxykXjSBi8b9a
dry bag,https://acnhcdn.com/acdb/bags/BagBackpackDry1.png,Blue,No,1040,260,Blue,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackDry1,11964,cMoNDoZx2sdfD6Haz
evening bag,https://acnhcdn.com/acdb/bags/BagShoulderParty0.png,Pink,No,1250,312,Pink,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderParty0,7305,tZhGqzKpEeEweTZi7
evening bag,https://acnhcdn.com/acdb/bags/BagShoulderParty1.png,Blue,No,1250,312,Blue,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderParty1,11976,SoJkNi7GNiW28tYuG
evening bag,https://acnhcdn.com/acdb/bags/BagShoulderParty2.png,Black,No,1250,312,Black,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderParty2,11977,x9Z63uLS8cHdsoczj
extra-large backpack,https://acnhcdn.com/acdb/bags/BagBackpackMountain0.png,Red,No,2100,525,Red,Red,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackMountain0,7505,sjT2tZJCMpWQNmhTy
extra-large backpack,https://acnhcdn.com/acdb/bags/BagBackpackMountain1.png,Green,No,2100,525,Green,Green,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackMountain1,11971,MKeBKrETSTs4tyrg4
extra-large backpack,https://acnhcdn.com/acdb/bags/BagBackpackMountain2.png,Black,No,2100,525,Black,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackMountain2,11972,HqReXLwGPigWMiJbS
extra-large backpack,https://acnhcdn.com/acdb/bags/BagBackpackMountain3.png,Blue,No,2100,525,Blue,Blue,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackMountain3,11973,vvEqA5aMBGyycpQFz
faux-fur bag,https://acnhcdn.com/acdb/bags/BagShoulderFakefur0.png,Pink,No,1400,350,Pink,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderFakefur0,7480,FyneYzGmHW7SyoHn7
faux-fur bag,https://acnhcdn.com/acdb/bags/BagShoulderFakefur1.png,Purple,No,1400,350,Purple,Yellow,1x1,Kicks,,1.0.0,Cute,formal; party,For sale,BagShoulderFakefur1,12003,gH3fn5rkmCrekWoJB
fish pochette,https://acnhcdn.com/acdb/bags/BagShoulderFish0.png,Blue,No,NFS,210,Light blue,Blue,1x1,Fishing Tourney,,1.0.0,Cute,formal; party,Not for sale,BagShoulderFish0,7477,CrFcdF3rXiaiiajEB
foldover-top backpack,https://acnhcdn.com/acdb/bags/BagBackpackLid0.png,Green,No,1300,325,Green,Beige,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackLid0,7507,nkXJ2eRThdt4vEpFb
foldover-top backpack,https://acnhcdn.com/acdb/bags/BagBackpackLid1.png,Blue,No,1300,325,Blue,Light blue,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackLid1,12016,M8i2DNwxgXKWADAtW
foldover-top backpack,https://acnhcdn.com/acdb/bags/BagBackpackLid2.png,Gray,No,1300,325,Gray,White,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackLid2,12017,Z8WFCNZodHtW2DBPB
foldover-top backpack,https://acnhcdn.com/acdb/bags/BagBackpackLid3.png,Pink,No,1300,325,Pink,Purple,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackLid3,12018,nD9TYBr8sw4rhLAyG
gumdrop shoulder bag,https://acnhcdn.com/acdb/bags/BagShoulderPattern0.png,Pop,No,2000,500,Pink,Green,1x1,Kicks,,1.0.0,Simple,everyday; comfy,For sale,BagShoulderPattern0,7486,mQZCwxcr6z3hq5Dgm
gumdrop shoulder bag,https://acnhcdn.com/acdb/bags/BagShoulderPattern1.png,Cool,No,2000,500,Purple,Light blue,1x1,Kicks,,1.0.0,Simple,everyday; comfy,For sale,BagShoulderPattern1,12012,JxHQbqWH73Q3GYKT8
hand-knit pouch,https://acnhcdn.com/acdb/bags/BagShoulderRace0.png,Green,No,1250,312,Green,Green,1x1,Kicks,,1.0.0,Elegant,vacation,For sale,BagShoulderRace0,7482,taTKqY3xif2LhShrf
hand-knit pouch,https://acnhcdn.com/acdb/bags/BagShoulderRace1.png,Purple,No,1250,312,Purple,Purple,1x1,Kicks,,1.0.0,Elegant,vacation,For sale,BagShoulderRace1,12004,GLLrMeJCPd8Xn7fdr
hard-shell backpack,https://acnhcdn.com/acdb/bags/BagBackpackHardshell0.png,Blue,No,1680,420,Blue,Black,1x1,Kicks,,1.0.0,Cool,outdoorsy; work,For sale,BagBackpackHardshell0,7512,LETQjE3yFDKze4ntv
hard-shell backpack,https://acnhcdn.com/acdb/bags/BagBackpackHardshell1.png,Red,No,1680,420,Red,Black,1x1,Kicks,,1.0.0,Cool,outdoorsy; work,For sale,BagBackpackHardshell1,10184,qdP3rmZ7P7HgA2cin
hard-shell backpack,https://acnhcdn.com/acdb/bags/BagBackpackHardshell2.png,Silver,No,1680,420,Gray,Black,1x1,Kicks,,1.0.0,Cool,outdoorsy; work,For sale,BagBackpackHardshell2,11946,yxnDx8JQqzZDM66oR
knapsack,https://acnhcdn.com/acdb/bags/BagBackpackKnapsack0.png,Blue,No,630,157,Blue,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackKnapsack0,7508,XbKqQChpAJXng37Mr
knapsack,https://acnhcdn.com/acdb/bags/BagBackpackKnapsack1.png,Black,No,630,157,Black,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackKnapsack1,12019,Fx4M2zpFTWGww54rw
knitted-grass backpack,https://acnhcdn.com/acdb/bags/BagBackpackGrass0.png,Green,Yes,NFS,400,Green,Brown,1x1,Crafting,,1.0.0,Elegant,outdoorsy; comfy; vacation,Not for sale,BagBackpackGrass0,7511,xM5iaYn4gbZoR94Qm
log pack,https://acnhcdn.com/acdb/bags/BagBackpackWood0.png,Brown,Yes,NFS,960,Brown,Beige,1x1,Crafting,,1.0.0,Simple,fairy tale; outdoorsy,Not for sale,BagBackpackWood0,7498,rDDM48hSfsSbcp92u
maple-leaf pochette,https://acnhcdn.com/acdb/bags/BagShoulderMaple0.png,Red,Yes,NFS,2400,Orange,Orange,1x1,Crafting,Fall seasonal DIY using autumn leaves (caught with net),1.0.0,Simple,fairy tale,Not for sale,BagShoulderMaple0,7491,HJDH4dCPMQY9qQanL
messenger bag,https://acnhcdn.com/acdb/bags/BagShoulderMessenger0.png,Green,No,840,210,Green,Black,1x1,Kicks,,1.0.0,Simple,everyday; outdoorsy; sporty,For sale,BagShoulderMessenger0,7470,7mPZ9PnTd46r65DXx
messenger bag,https://acnhcdn.com/acdb/bags/BagShoulderMessenger1.png,Orange,No,840,210,Orange,Black,1x1,Kicks,,1.0.0,Simple,everyday; outdoorsy; sporty,For sale,BagShoulderMessenger1,11978,sgxnCe87EdtdoKved
messenger bag,https://acnhcdn.com/acdb/bags/BagShoulderMessenger2.png,Black,No,840,210,Black,Black,1x1,Kicks,,1.0.0,Simple,everyday; outdoorsy; sporty,For sale,BagShoulderMessenger2,11979,ZuwiM4DzJF5Rsg46x
mini pleather bag,https://acnhcdn.com/acdb/bags/BagBackpackSmall0.png,White,No,1600,400,White,White,1x1,Kicks,,1.0.0,Elegant,everyday; formal; party,For sale,BagBackpackSmall0,7504,FyrYDDhzABDegtZ6n
mini pleather bag,https://acnhcdn.com/acdb/bags/BagBackpackSmall1.png,Black,No,1600,400,Black,Black,1x1,Kicks,,1.0.0,Elegant,everyday; formal; party,For sale,BagBackpackSmall1,12015,hYJk97FFi4zJGQ5cH
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt0.png,M,No,NFS,175,Yellow,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt0,7510,szhWnj6jpymTsKce8
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt1.png,Flowers,No,NFS,175,Gray,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt1,12148,gqy4s4zFowLbNKTd2
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt2.png,Polka dots,No,NFS,175,Pink,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt2,12149,Hkju8Bjb8Kaamsu3j
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt3.png,Colorful quilt design,No,NFS,175,Colorful,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt3,12150,6uKkNZRz7E8gkSiBF
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt4.png,Cherries,No,NFS,175,Light blue,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt4,12151,46PX3NMjAdrNiRQXb
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt5.png,Denim with stripes,No,NFS,175,Blue,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt5,12152,hj8ixCKXNWBnGZSrw
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt6.png,Forest print,No,NFS,175,White,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt6,12153,E3XrB5LbBTu795xbM
Mom's knapsack,https://acnhcdn.com/acdb/bags/BagBackpackQuilt7.png,Chick,No,NFS,175,Orange,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,BagBackpackQuilt7,12154,jCi92aiMtZB92idfQ
Nook Inc. knapsack,https://acnhcdn.com/acdb/bags/BagBackpackNook0.png,Brown,No,NFS,4000,Brown,Yellow,1x1,Nook Miles Shop,,1.0.0,Gorgeous,everyday,Not for sale,BagBackpackNook0,9761,zQh6chGG66h4f5JbX
outdoor backpack,https://acnhcdn.com/acdb/bags/BagBackpackOutdoor0.png,Avocado,No,1560,390,Green,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackOutdoor0,7501,CAsQFPPeo3vBGpHSo
outdoor backpack,https://acnhcdn.com/acdb/bags/BagBackpackOutdoor1.png,Orange,No,1560,390,Orange,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackOutdoor1,11969,hiF7bqmoudyFJPcWG
outdoor backpack,https://acnhcdn.com/acdb/bags/BagBackpackOutdoor2.png,Navy blue,No,1560,390,Blue,Black,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagBackpackOutdoor2,11970,qd8DJb8mX5zhewgyn
pleather crossbody bag,https://acnhcdn.com/acdb/bags/BagBackpackBodybag0.png,Navy blue,No,1120,280,Blue,Brown,1x1,Kicks,,1.0.0,Cool,everyday; work,For sale,BagBackpackBodybag0,7484,YQD8XMuvDbymAeKxt
pleather crossbody bag,https://acnhcdn.com/acdb/bags/BagBackpackBodybag1.png,Black,No,1120,280,Black,White,1x1,Kicks,,1.0.0,Cool,everyday; work,For sale,BagBackpackBodybag1,12005,QDPYGrpFNNir49uBe
pleather fringe bag,https://acnhcdn.com/acdb/bags/BagShoulderFringe0.png,Camel,No,2400,600,Brown,Brown,1x1,Kicks,,1.0.0,Elegant,everyday; formal; party,For sale,BagShoulderFringe0,7481,7RYHreaA7o9huubNu
pleather fringe bag,https://acnhcdn.com/acdb/bags/BagShoulderFringe1.png,White,No,2400,600,White,White,1x1,Kicks,,1.0.0,Elegant,everyday; formal; party,For sale,BagShoulderFringe1,12010,fiM98m9CGgi6iATkQ
pleather shoulder bag,https://acnhcdn.com/acdb/bags/BagShoulderLeather0.png,Brown,No,2400,600,Brown,Brown,1x1,Kicks,,1.0.0,Elegant,everyday; formal,For sale,BagShoulderLeather0,7476,9AqRYq83NRMxrEWiD
pleather shoulder bag,https://acnhcdn.com/acdb/bags/BagShoulderLeather1.png,Navy blue,No,2400,600,Blue,Blue,1x1,Kicks,,1.0.0,Elegant,everyday; formal,For sale,BagShoulderLeather1,12009,ZKgcPhGYErHShMrGR
retro sports bag,https://acnhcdn.com/acdb/bags/BagShoulderSports0.png,Blue,No,1400,350,White,Blue,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagShoulderSports0,7302,vY7qcZFdWb3HgSv7L
retro sports bag,https://acnhcdn.com/acdb/bags/BagShoulderSports1.png,Red,No,1400,350,White,Red,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagShoulderSports1,12007,Lqtjq3rWFoy4Dv39C
retro sports bag,https://acnhcdn.com/acdb/bags/BagShoulderSports2.png,Black,No,1400,350,Black,Yellow,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagShoulderSports2,12008,nGhHjk4GEKSQwvARA
sacoche bag,https://acnhcdn.com/acdb/bags/BagShoulderSacosh0.png,Blue,No,980,245,Blue,Green,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagShoulderSacosh0,7304,n82fhWWNSv8kyFJc2
sacoche bag,https://acnhcdn.com/acdb/bags/BagShoulderSacosh1.png,Red,No,980,245,Red,Yellow,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagShoulderSacosh1,11974,LYnLwBnwTYcMp4fr9
sacoche bag,https://acnhcdn.com/acdb/bags/BagShoulderSacosh2.png,Black,No,980,245,Black,White,1x1,Kicks,,1.0.0,Active,outdoorsy; sporty,For sale,BagShoulderSacosh2,11975,NRYqQLN2Beq4jpDBJ
shellfish pochette,https://acnhcdn.com/acdb/bags/BagShoulderShell0.png,White,Yes,NFS,10800,White,White,1x1,Crafting,Summer seasonal DIY using summer shells (found on beach),1.0.0,Cute,fairy tale; vacation,Not for sale,BagShoulderShell0,7494,XEsQxMf7k9qvjYxPF
snowflake pochette,https://acnhcdn.com/acdb/bags/BagShoulderSnow0.png,White,Yes,NFS,2400,Light blue,White,1x1,Crafting,Winter seasonal DIY using snowflakes (caught with net),1.0.0,Elegant,fairy tale; party; vacation,Not for sale,BagShoulderSnow0,7493,gW7R4HX8hjZEHAFtB
square backpack,https://acnhcdn.com/acdb/bags/BagBackpackSquare0.png,Yellow,No,1300,325,Yellow,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackSquare0,7500,2RYepaMxTnXMZ9tXg
square backpack,https://acnhcdn.com/acdb/bags/BagBackpackSquare1.png,Pink,No,1300,325,Pink,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackSquare1,11967,wN6jaJRRvg6cQZXhk
square backpack,https://acnhcdn.com/acdb/bags/BagBackpackSquare2.png,Green,No,1300,325,Green,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy; sporty,For sale,BagBackpackSquare2,11968,rJain6G9X749mG5p7
star pochette,https://acnhcdn.com/acdb/bags/BagShoulderStar0.png,Yellow,Yes,NFS,3000,Yellow,Yellow,1x1,Crafting,,1.0.0,Cute,fairy tale; party; vacation,Not for sale,BagShoulderStar0,7489,3WQ8vSWtHMjZ6YPtR
straw pochette,https://acnhcdn.com/acdb/bags/BagShoulderRattan0.png,Brown,No,980,245,Brown,Brown,1x1,Kicks,,1.0.0,Simple,comfy; vacation,For sale,BagShoulderRattan0,7488,CGs3z4dKEkH82FDyq
studded backpack,https://acnhcdn.com/acdb/bags/BagBackpackStuds0.png,Black,No,1560,390,Black,Yellow,1x1,Kicks,,1.0.0,Cool,evreyday; goth,For sale,BagBackpackStuds0,7503,mTMCDJnwtFJzvQ9rs
studded backpack,https://acnhcdn.com/acdb/bags/BagBackpackStuds1.png,White,No,1560,390,White,Gray,1x1,Kicks,,1.0.0,Cool,evreyday; goth,For sale,BagBackpackStuds1,12006,e6iev2NrSfaxSg5nr
tackle bag,https://acnhcdn.com/acdb/bags/BagShoulderFishing0.png,Blue,No,NFS,175,Blue,Orange,1x1,Fishing Tourney,,1.0.0,Active,outdoorsy; sporty; work,Not for sale,BagShoulderFishing0,7478,prkWCjgn7gTK4X8QH
tool bag,https://acnhcdn.com/acdb/bags/BagShoulderTool0.png,Black,No,910,227,Black,Yellow,1x1,Kicks,,1.0.0,Active,outdoorsy; work,For sale,BagShoulderTool0,7497,KiXvv8fvv7CN5sFDx
