Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Style,LabelThemes,Catalog
acorn pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderAcorn0.png,brown,Yes,-1,2400,brown,green,Crafting,Fall seasonal DIY using acorns (from shaking trees),cute,fairy tale,nfs
basket pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBasket0.png,green,Yes,-1,2400,green,green,Crafting,,simple,outdoorsy; work,nfs
bug cage,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCage0.png,green,No,-1,122,green,white,Bug-Off,,active,outdoorsy; vacation,nfs
bunny day bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackEgg0.png,none,Yes,-1,2400,colorful,colorful,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",active,fairy tale; party; theatrical,nfs
butterfly backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackButterfly0.png,pink,No,-1,210,pink,yellow,Bug-Off,,cute,everyday; formal; party,nfs
canvas backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTote0.png,white,No,1300,325,white,orange,Kicks,,simple,everyday,fs
cherry-blossom pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCherryblossoms0.png,pink,Yes,-1,2400,pink,pink,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),cute,fairy tale,nfs
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas0.png,blue,No,1400,350,light blue,light blue,Kicks,,simple,everyday,fs
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas1.png,orange,No,1400,350,orange,orange,Kicks,,simple,everyday,fs
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas2.png,ivory,No,1400,350,white,white,Kicks,,simple,everyday,fs
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody0.png,pink,No,700,175,pink,black,Kicks,,active,everyday; outdoorsy; sporty,fs
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody1.png,green,No,700,175,green,black,Kicks,,active,everyday; outdoorsy; sporty,fs
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody2.png,yellow,No,700,175,yellow,black,Kicks,,active,everyday; outdoorsy; sporty,fs
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody3.png,white,No,700,175,white,black,Kicks,,active,everyday; outdoorsy; sporty,fs
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum0.png,red,No,1680,420,red,black,Kicks,,simple,everyday; outdoorsy; sporty,fs
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum1.png,blue,No,1680,420,blue,black,Kicks,,simple,everyday; outdoorsy; sporty,fs
dal backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDal0.png,blue,No,-1,1010,blue,black,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,cool,outdoorsy; vacation,nfs
dry bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDry0.png,yellow,No,1040,260,yellow,black,Kicks,,active,outdoorsy; sporty,fs
