Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,LabelThemes,Catalog,Filename,InternalID,UniqueEntryID
acid-washed jeans,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalChemical0.png,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy,For sale,BottomsTexPantsNormalChemical0,5286,QaecPktemD3XuFdwy
acid-washed jeans,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalChemical1.png,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy,For sale,BottomsTexPantsNormalChemical1,11385,a7HNjgRFkCznkDLLH
animal-stripes skirt,https://acnhcdn.com/acdb/bottoms/BottomsTexSkirtBoxStripe0.png,Tiger,No,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,everyday,For sale,BottomsTexSkirtBoxStripe0,9842,qmtHwBmtJDvtNntTs
animal-stripes skirt,https://acnhcdn.com/acdb/bottoms/BottomsTexSkirtBoxStripe1.png,Zebra,No,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cool,everyday,For sale,BottomsTexSkirtBoxStripe1,12067,4mDRmSG3scfXh3oon
apron skirt,https://acnhcdn.com/acdb/bottoms/BottomsTexSkirtBoxApron0.png,Purple,No,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,work,For sale,BottomsTexSkirtBoxApron0,5710,MtsvEMQ9Z9damsycd
apron skirt,https://acnhcdn.com/acdb/bottoms/BottomsTexSkirtBoxApron1.png,Blue,No,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,work,For sale,BottomsTexSkirtBoxApron1,8921,cfzi35RpY8onR3hra
apron skirt,https://acnhcdn.com/acdb/bottoms/BottomsTexSkirtBoxApron2.png,Beige,No,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,work,For sale,BottomsTexSkirtBoxApron2,8922,AmWS5iMbatqDr2eLs
athletic pants,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalJersey0.png,Red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey0,3311,iL9vd8DerEEJDJQbA
athletic pants,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalJersey1.png,Green,No,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey1,11295,Ygp8L2zeem8ECZroK
athletic pants,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalJersey2.png,Black,No,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey2,11296,8NcTmEpkckocYvTf2
athletic pants,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalJersey3.png,Blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey3,11297,R6apb74ivZCDbvEvi
athletic pants,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalJersey4.png,Berry red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey4,11298,HSgcZgAkXCBroWboG
athletic pants,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsNormalJersey5.png,Navy blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsNormalJersey5,11299,zauG7p57gDAPSqPH4
athletic shorts,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsHalfJersey0.png,Red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsHalfJersey0,4518,Pz4KvZgNanynj88ut
athletic shorts,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsHalfJersey1.png,Green,No,560,140,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsHalfJersey1,11905,Cgi5fvfgm5YEdCpNu
athletic shorts,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsHalfJersey2.png,Black,No,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsHalfJersey2,11906,XZyRpyaiPbfw5nwTD
athletic shorts,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsHalfJersey3.png,Blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsHalfJersey3,11907,omNsW8d3EgoAs3tLL
athletic shorts,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsHalfJersey4.png,Berry red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsHalfJersey4,11908,QWxKgGJSnKgHEyz5Y
athletic shorts,https://acnhcdn.com/acdb/bottoms/BottomsTexPantsHalfJersey5.png,Navy blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; comfy; sporty,For sale,BottomsTexPantsHalfJersey5,11909,wkX3PL2R5dYC8PNJ2
