Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Style,LabelThemes,Catalog
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,blue,No,1320,330,blue,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy,fs
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,black,No,1320,330,black,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy,fs
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,tiger,No,1100,275,yellow,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday,fs
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,zebra,No,1100,275,gray,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday,fs
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,purple,No,700,175,white,purple,Able Sisters,Available from Able Sisters shop only,simple,work,fs
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,blue,No,700,175,white,light blue,Able Sisters,Available from Able Sisters shop only,simple,work,fs
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,beige,No,700,175,white,beige,Able Sisters,Available from Able Sisters shop only,simple,work,fs
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,red,No,880,220,red,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,green,No,880,220,green,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,black,No,880,220,black,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,blue,No,880,220,blue,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey4.png,berry red,No,880,220,red,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,navy blue,No,880,220,blue,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey0.png,red,No,560,140,red,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey1.png,green,No,560,140,green,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey2.png,black,No,560,140,black,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey3.png,blue,No,560,140,blue,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey4.png,berry red,No,560,140,red,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey5.png,navy blue,No,560,140,blue,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,outdoorsy; comfy; sporty,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball0.png,purple,No,980,245,purple,yellow,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball1.png,red,No,980,245,red,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball2.png,green,No,980,245,green,orange,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball3.png,orange,No,980,245,orange,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball4.png,blue,No,980,245,blue,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball5.png,yellow,No,980,245,yellow,green,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball6.png,light blue,No,980,245,light blue,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball7.png,black,No,980,245,black,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,active,sporty; work,fs
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms0.png,orange,No,1320,330,orange,orange,Able Sisters,Available from Able Sisters shop only,gorgeous,everyday,fs
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms1.png,brown,No,1320,330,brown,brown,Able Sisters,Available from Able Sisters shop only,gorgeous,everyday,fs
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms2.png,beige,No,1320,330,beige,beige,Able Sisters,Available from Able Sisters shop only,gorgeous,everyday,fs
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms3.png,green,No,1320,330,green,green,Able Sisters,Available from Able Sisters shop only,gorgeous,everyday,fs
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms4.png,blue,No,1320,330,blue,blue,Able Sisters,Available from Able Sisters shop only,gorgeous,everyday,fs
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap0.png,yellow,No,1040,260,yellow,black,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy,fs
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap1.png,red,No,1040,260,red,black,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy,fs
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap2.png,green,No,1040,260,green,black,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy,fs
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap3.png,blue,No,1040,260,blue,black,Able Sisters,Available from Able Sisters shop only,simple,everyday; comfy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa0.png,purple,No,1200,300,purple,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa1.png,avocado,No,1200,300,green,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa2.png,beige,No,1200,300,beige,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa3.png,blue,No,1200,300,blue,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa4.png,red,No,1200,300,red,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa5.png,orange,No,1200,300,orange,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa6.png,peacock blue,No,1200,300,light blue,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa7.png,black,No,1200,300,black,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa0.png,green,No,1300,325,green,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa1.png,blue,No,1300,325,blue,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa2.png,purple,No,1300,325,purple,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa3.png,red,No,1300,325,red,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa4.png,yellow,No,1300,325,yellow,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa5.png,light blue,No,1300,325,light blue,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa6.png,beige,No,1300,325,beige,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa7.png,brown,No,1300,325,brown,black,Able Sisters,Available from Able Sisters shop only,active,everyday; outdoorsy,fs
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone0.png,avocado,No,1320,330,green,green,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday; outdoorsy,fs
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone1.png,black,No,1320,330,black,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday; outdoorsy,fs
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone2.png,blue,No,1320,330,blue,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday; outdoorsy,fs
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone3.png,brown,No,1320,330,brown,brown,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday; outdoorsy,fs
botanical shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical0.png,black,No,700,175,black,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,comfy; vacation,fs
botanical shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical1.png,white,No,700,175,white,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,comfy; vacation,fs
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats0.png,light blue,No,1320,330,light blue,light blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; vacation,fs
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats1.png,beige,No,1320,330,beige,beige,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; vacation,fs
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats2.png,red,No,1320,330,red,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; vacation,fs
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats3.png,green,No,1320,330,green,green,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; vacation,fs
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace0.png,yellow,No,1200,300,yellow,yellow,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; fairy tale; comfy; vacation,fs
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace1.png,white,No,1200,300,white,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; fairy tale; comfy; vacation,fs
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace2.png,pink,No,1200,300,pink,pink,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; fairy tale; comfy; vacation,fs
