Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,Label Themes,Catalog,Filename,InternalID,UniqueEntryID
academy uniform,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBoxLYosoiki0.png,Navy blue,No,2080,520,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal; party,For sale,TopsTexOnepieceBoxLYosoiki0,2699,yfbZu5Nj6wtJSnuDW
academy uniform,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBoxLYosoiki1.png,Gray,No,2080,520,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal; party,For sale,TopsTexOnepieceBoxLYosoiki1,9016,zbKRm5Cv5dyiz3y35
academy uniform,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBoxLYosoiki2.png,Red,No,2080,520,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal; party,For sale,TopsTexOnepieceBoxLYosoiki2,9017,3FSAsaikyEjHkLWcM
adventure dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBalloonHStrangeBlue.png,Blue,No,2800,700,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale,For sale,TopsTexOnepieceBalloonHStrangeBlue,3686,AQZFR4Bzob9Phsr9R
alpinist dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBalloonHTyrolean0.png,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,everyday; formal,For sale,TopsTexOnepieceBalloonHTyrolean0,3168,rN77JmGnpSNNeQogP
alpinist dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBalloonHTyrolean1.png,Blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,everyday; formal,For sale,TopsTexOnepieceBalloonHTyrolean1,8615,zkWYtfW3WeDbdSQuy
alpinist dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBalloonHTyrolean2.png,Red,No,2520,630,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,everyday; formal,For sale,TopsTexOnepieceBalloonHTyrolean2,8616,TkEkCuYTjTEu38axs
alpinist overalls,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallHTyrolean0.png,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceOverallHTyrolean0,4443,vzaWMkA2s7R6SefHa
alpinist overalls,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallHTyrolean1.png,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceOverallHTyrolean1,8631,onM7CM229PHZyRjPd
alpinist overalls,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallHTyrolean2.png,Red,No,2520,630,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceOverallHTyrolean2,8632,WWbNFkaxwJMGLSBYj
ancient belted robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukumen0.png,Blue,No,3640,910,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukumen0,5518,W2KoH5jp8b43CHbsK
ancient belted robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukumen1.png,Green,No,3640,910,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukumen1,9158,Ta6QSCmpE9nybMPxA
ancient belted robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukumen2.png,Beige,No,3640,910,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukumen2,9159,DFxZQJWvqjzGxpEWw
ancient belted robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukumen3.png,White,No,3640,910,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukumen3,9160,Fcbj8smE8XoZJuH3h
ancient belted robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukumen4.png,Purple,No,3640,910,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukumen4,9161,2Pz2drQkcbzDF5dXX
ancient sashed robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukuwomen0.png,Green,No,2520,630,Green,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukuwomen0,5519,9ia2ueaAKgT25KpLq
ancient sashed robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukuwomen1.png,Pink,No,2520,630,Pink,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukuwomen1,9162,vRcHxEwpupmHocSZi
ancient sashed robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukuwomen2.png,Red,No,2520,630,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukuwomen2,9163,fkKFHi8LSBqQnF5fP
ancient sashed robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukuwomen3.png,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukuwomen3,9164,eZq27jsCvY5jxiyJX
ancient sashed robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceKimonoLKanpukuwomen4.png,Purple,No,2520,630,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,formal,For sale,TopsTexOnepieceKimonoLKanpukuwomen4,9165,jr6P62azs7uQ2gzjL
áo dài,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAodai0.png,White,No,2520,630,White,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceBlongLAodai0,3493,KPYgXwbrnLgBT7aaS
áo dài,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAodai1.png,Navy blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceBlongLAodai1,9141,qJ6wpwNd8tRK4mJqt
áo dài,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAodai2.png,Yellow,No,2520,630,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceBlongLAodai2,9142,iCHJh668S3FYby4iz
áo dài,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAodai3.png,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceBlongLAodai3,9143,bkv3c36HA4856YrPL
áo dài,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAodai4.png,Pink,No,2520,630,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,everyday; formal,For sale,TopsTexOnepieceBlongLAodai4,9144,EhoEQfAaNHBCYq6ET
apple dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceAlineNApple0.png,Red,Yes,NFS,1600,Yellow,Red,1x1,Crafting,,1.0.0,Cute,fairy tale; party; theatrical,Not for sale,TopsTexOnepieceAlineNApple0,9836,4r6bu79MTGChcioYr
astro dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceAlineNSpace0.png,Blue,No,2500,625,Gray,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,fairy tale; theatrical,For sale,TopsTexOnepieceAlineNSpace0,5135,YgSrhdHZosAdNtDvp
astro dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceAlineNSpace1.png,Green,No,2500,625,Gray,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,fairy tale; theatrical,For sale,TopsTexOnepieceAlineNSpace1,7890,Zwb2C5oFXQ3ip2KTb
astro dress,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceAlineNSpace2.png,Pink,No,2500,625,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,fairy tale; theatrical,For sale,TopsTexOnepieceAlineNSpace2,7891,MCrJgJnwLXfXbNiTA
attus robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAttoushi0.png,Blue,No,2520,630,Blue,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; formal,For sale,TopsTexOnepieceBlongLAttoushi0,10907,GCnizpuhnhMnWodB6
attus robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAttoushi1.png,Brown,No,2520,630,Brown,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; formal,For sale,TopsTexOnepieceBlongLAttoushi1,11998,uWaA98hr4zo2nE424
attus robe,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceBlongLAttoushi2.png,Red,No,2520,630,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,everyday; formal,For sale,TopsTexOnepieceBlongLAttoushi2,11999,GKPivR7QXbRhAH589
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers0.png,Baby mint,No,1920,480,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers0,4470,fpTozgJHe8zAbuoJr
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers1.png,Baby purple,No,1920,480,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers1,7828,xaNwcn2BKpELEEcJu
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers2.png,Baby yellow,No,1920,480,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers2,7829,jATy7chF9RZSpzgkM
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers3.png,Baby green,No,1920,480,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers3,7830,3wYgbYbbc9R7XK6sT
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers4.png,Baby pink,No,1920,480,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers4,7831,xugKSBhsTLu7iJHqf
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers5.png,Baby gray,No,1920,480,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers5,7832,AXWwhihKEF9GCxh7R
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers6.png,Baby blue,No,1920,480,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers6,7833,6SATwHBYcR8soiT2n
baby romper,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceOverallLRompers7.png,Baby orange,No,1920,480,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; comfy,For sale,TopsTexOnepieceOverallLRompers7,7834,63PAmvstBoJvzyYq9
baby-chick costume,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceRibNChick0.png,Yellow,No,1700,425,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; party; theatrical,For sale,TopsTexOnepieceRibNChick0,5644,YA7qY7v9XHAvmqbXH
baby-chick costume,https://acnhcdn.com/acdb/dresses/TopsTexOnepieceRibNChick1.png,Blue,No,1700,425,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,fairy tale; party; theatrical,For sale,TopsTexOnepieceRibNChick1,9640,gW7sLivQcaehgbjXP
