Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Style,LabelThemes,Catalog
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,navy blue,No,2080,520,blue,white,Able Sisters,Available from Able Sisters shop only,elegant,formal; party,fs
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,gray,No,2080,520,gray,white,Able Sisters,Available from Able Sisters shop only,elegant,formal; party,fs
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,red,No,2080,520,red,white,Able Sisters,Available from Able Sisters shop only,elegant,formal; party,fs
adventure dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,blue,No,2800,700,light blue,white,Able Sisters,Available from Able Sisters shop only,cute,fairy tale,fs
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,green,No,2520,630,green,white,Able Sisters,Available from Able Sisters shop only,cute,everyday; formal,fs
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,blue,No,2520,630,blue,white,Able Sisters,Available from Able Sisters shop only,cute,everyday; formal,fs
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,red,No,2520,630,red,white,Able Sisters,Available from Able Sisters shop only,cute,everyday; formal,fs
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,green,No,2520,630,green,white,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,blue,No,2520,630,blue,light blue,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,red,No,2520,630,red,pink,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen0.png,blue,No,3640,910,light blue,blue,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen1.png,green,No,3640,910,green,green,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen2.png,beige,No,3640,910,beige,brown,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen3.png,white,No,3640,910,white,black,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen4.png,purple,No,3640,910,purple,black,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,green,No,2520,630,green,red,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,pink,No,2520,630,pink,purple,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,red,No,2520,630,pink,red,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,blue,No,2520,630,light blue,blue,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,purple,No,2520,630,purple,purple,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai0.png,white,No,2520,630,white,white,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai1.png,navy blue,No,2520,630,blue,white,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai2.png,yellow,No,2520,630,yellow,white,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai3.png,green,No,2520,630,green,white,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai4.png,pink,No,2520,630,pink,white,Able Sisters,Available from Able Sisters shop only,elegant,everyday; formal,fs
apple dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNApple0.png,red,Yes,-1,1600,yellow,red,Crafting,,cute,fairy tale; party; theatrical,nfs
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace0.png,blue,No,2500,625,gray,blue,Able Sisters,Available from Able Sisters shop only,cool,fairy tale; theatrical,fs
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace1.png,green,No,2500,625,gray,green,Able Sisters,Available from Able Sisters shop only,cool,fairy tale; theatrical,fs
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace2.png,pink,No,2500,625,gray,pink,Able Sisters,Available from Able Sisters shop only,cool,fairy tale; theatrical,fs
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi0.png,blue,No,2520,630,blue,beige,Able Sisters,Available from Able Sisters shop only,cool,everyday; formal,fs
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi1.png,brown,No,2520,630,brown,light blue,Able Sisters,Available from Able Sisters shop only,cool,everyday; formal,fs
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi2.png,red,No,2520,630,red,yellow,Able Sisters,Available from Able Sisters shop only,cool,everyday; formal,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers0.png,baby mint,No,1920,480,light blue,light blue,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers1.png,baby purple,No,1920,480,pink,pink,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers2.png,baby yellow,No,1920,480,yellow,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers3.png,baby green,No,1920,480,green,green,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers4.png,baby pink,No,1920,480,red,red,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers5.png,baby gray,No,1920,480,beige,beige,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers6.png,baby blue,No,1920,480,blue,blue,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers7.png,baby orange,No,1920,480,orange,orange,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; comfy,fs
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick0.png,yellow,No,1700,425,yellow,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; party; theatrical,fs
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick1.png,blue,No,1700,425,light blue,light blue,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; party; theatrical,fs
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick2.png,beige,No,1700,425,beige,beige,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; party; theatrical,fs
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea0.png,blue,No,2520,630,blue,light blue,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea1.png,purple,No,2520,630,purple,pink,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea2.png,aqua,No,2520,630,light blue,pink,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea3.png,black,No,2520,630,black,gray,Able Sisters,Available from Able Sisters shop only,elegant,formal,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet0.png,pink,No,2880,720,pink,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet1.png,mint,No,2880,720,green,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet2.png,blue,No,2880,720,blue,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet3.png,purple,No,2880,720,purple,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet4.png,black,No,2880,720,black,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet5.png,white,No,2880,720,white,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet6.png,yellow,No,2880,720,yellow,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet7.png,red,No,2880,720,red,yellow,Able Sisters,Available from Able Sisters shop only,cute,fairy tale; sporty; theatrical; work,fs
balmacaan coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLBalmakarn0.png,avocado,No,1540,385,green,green,Able Sisters,Available from Able Sisters shop only,simple,everyday,fs
balmacaan coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLBalmakarn1.png,beige,No,1540,385,beige,beige,Able Sisters,Available from Able Sisters shop only,simple,everyday,fs
balmacaan coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLBalmakarn2.png,navy blue,No,1540,385,blue,blue,Able Sisters,Available from Able Sisters shop only,simple,everyday,fs
baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball0.png,red,No,1760,440,red,white,Able Sisters,Available from Able Sisters shop only,active,sporty; work,fs
baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball1.png,navy blue,No,1760,440,blue,white,Able Sisters,Available from Able Sisters shop only,active,sporty; work,fs
baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball2.png,green,No,1760,440,green,white,Able Sisters,Available from Able Sisters shop only,active,sporty; work,fs
baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball3.png,orange,No,1760,440,black,orange,Able Sisters,Available from Able Sisters shop only,active,sporty; work,fs
baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball4.png,yellow,No,1760,440,black,yellow,Able Sisters,Available from Able Sisters shop only,active,sporty; work,fs
bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel0.png,pink,No,630,157,pink,pink,Able Sisters,Available from Able Sisters shop only,simple,comfy,fs
bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel1.png,white,No,630,157,white,white,Able Sisters,Available from Able Sisters shop only,simple,comfy,fs
bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel2.png,blue,No,630,157,light blue,light blue,Able Sisters,Available from Able Sisters shop only,simple,comfy,fs
bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel3.png,green,No,630,157,green,green,Able Sisters,Available from Able Sisters shop only,simple,comfy,fs
