Name,Image,DIY,Buy,Sell,Source,SourceNotes
bamboo lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBamboo.png,Yes,-1,960,Crafting,Nook Miles Exchange
barbed-wire fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBarbedWire.png,Yes,-1,1980,Crafting,Nook Miles Exchange
brick fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceWallRenga.png,Yes,-1,1200,Crafting,Nook Miles Exchange
bunny day fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceEgg.png,Yes,-1,2400,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event"
corral fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceHorizontalWood.png,Yes,-1,720,Crafting,Nook Miles Exchange
country fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLog.png,Yes,-1,720,Crafting,Nook Miles Exchange
hedge,https://acnhcdn.com/latest/FtrIcon/ItemFenceIkegaki.png,Yes,-1,55,Crafting,
imperial fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceChinese.png,Yes,-1,1200,Crafting,Nook Miles Exchange
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel.png,Yes,-1,4500,Crafting,Nook Miles Exchange
iron-and-stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIronAndStone.png,Yes,-1,3150,Crafting,Nook Miles Exchange
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural.png,Yes,-1,960,Crafting,Nook Miles Exchange
rope fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePegRope.png,Yes,-1,3000,Crafting,Nook Miles Exchange
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural.png,Yes,-1,720,Crafting,Nook Miles Exchange
spiky fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSharply.png,Yes,-1,960,Crafting,Nook Miles Exchange
stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceStone.png,Yes,-1,600,Crafting,Nook Miles Exchange
straw fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceDriedStraw.png,Yes,-1,560,Crafting,Nook Miles Exchange
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood.png,Yes,-1,960,Crafting,Nook Miles Exchange
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride.png,Yes,-1,411,,
zen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJapanese.png,Yes,-1,3300,Crafting,Nook Miles Exchange
