Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,LabelThemes,Catalog,Filename,InternalID,UniqueEntryID
acorn knit cap,https://acnhcdn.com/acdb/headwear/CapHatAcorn0.png,Chestnut,No,880,220,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn0,5315,awiucsYWz5zP8GpRg
acorn knit cap,https://acnhcdn.com/acdb/headwear/CapHatAcorn1.png,Mustard,No,880,220,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn1,10933,ezAwHKyeN45mGvvpH
acorn knit cap,https://acnhcdn.com/acdb/headwear/CapHatAcorn2.png,Avocado,No,880,220,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn2,10934,we44e3C8foQySY2y7
acorn knit cap,https://acnhcdn.com/acdb/headwear/CapHatAcorn3.png,Berry red,No,880,220,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn3,10935,EfbMmL5YGZYtZNgHe
acorn knit cap,https://acnhcdn.com/acdb/headwear/CapHatAcorn4.png,Navy blue,No,880,220,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn4,10936,FYrdavXDtZWRQ2MqQ
acorn knit cap,https://acnhcdn.com/acdb/headwear/CapHatAcorn5.png,Cream,No,880,220,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,everyday; comfy,For sale,CapHatAcorn5,10937,XTXWXam7Wjt59MTr8
alpinist hat,https://acnhcdn.com/acdb/headwear/CapHatTyrolean0.png,Green,No,NFS,500,Green,Green,1x1,Gulliver,,1.0.0,Simple,everyday; formal,Not for sale,CapHatTyrolean0,5295,mYej2cYc7x6mGC8Dj
alpinist hat,https://acnhcdn.com/acdb/headwear/CapHatTyrolean1.png,Blue,No,NFS,500,Blue,Light blue,1x1,Gulliver,,1.0.0,Simple,everyday; formal,Not for sale,CapHatTyrolean1,11884,e45yoPx7fjTd9cSwk
alpinist hat,https://acnhcdn.com/acdb/headwear/CapHatTyrolean2.png,Red,No,NFS,500,Red,Pink,1x1,Gulliver,,1.0.0,Simple,everyday; formal,Not for sale,CapHatTyrolean2,11885,mKejTXKMxXnRBkk4B
ancient administrator hat,https://acnhcdn.com/acdb/headwear/CapHatKanboBlack.png,Black,No,NFS,800,Black,Black,1x1,Gulliver,,1.0.0,Elegant,formal; work,Not for sale,CapHatKanboBlack,6048,BNBBbdP7uZbY2r3zw
apple hat,https://acnhcdn.com/acdb/headwear/CapHatApple0.png,Red,Yes,NFS,1000,Red,Yellow,1x1,Crafting,,1.0.0,Cute,fairy tale; party; theatrical,Not for sale,CapHatApple0,9871,rEpxF8jscsm4fwjSf
Aran-knit cap,https://acnhcdn.com/acdb/headwear/CapHatAlan0.png,White,No,880,220,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy,For sale,CapHatAlan0,9864,6Zi8WYr34D8niHAnC
Aran-knit cap,https://acnhcdn.com/acdb/headwear/CapHatAlan1.png,Red,No,880,220,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy,For sale,CapHatAlan1,12045,uFfoH47SuuTmAzaXG
Aran-knit cap,https://acnhcdn.com/acdb/headwear/CapHatAlan2.png,Blue,No,880,220,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy,For sale,CapHatAlan2,12046,jeSebE2Y5fYhTj22k
Aran-knit cap,https://acnhcdn.com/acdb/headwear/CapHatAlan3.png,Green,No,880,220,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy,For sale,CapHatAlan3,12047,fnowt95fR7QRBrux7
baby's hat,https://acnhcdn.com/acdb/headwear/CapBangsBonnet0.png,Baby mint,No,560,140,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,comfy,For sale,CapBangsBonnet0,5363,rv9rW8dCfB8k73Hzr
baby's hat,https://acnhcdn.com/acdb/headwear/CapBangsBonnet1.png,Baby purple,No,560,140,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,comfy,For sale,CapBangsBonnet1,11853,5939Ws882wTSv7sJK
baby's hat,https://acnhcdn.com/acdb/headwear/CapBangsBonnet2.png,Baby yellow,No,560,140,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,comfy,For sale,CapBangsBonnet2,11854,qk3PJdK2SZK4vsFKo
baby's hat,https://acnhcdn.com/acdb/headwear/CapBangsBonnet3.png,Baby green,No,560,140,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,comfy,For sale,CapBangsBonnet3,11855,hADTfx6Y2hKri4obE
