Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Style,LabelThemes,Catalog
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,chestnut,No,880,220,brown,brown,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cute,everyday; comfy,fs
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,mustard,No,880,220,yellow,yellow,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cute,everyday; comfy,fs
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,avocado,No,880,220,green,green,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cute,everyday; comfy,fs
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,berry red,No,880,220,red,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cute,everyday; comfy,fs
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,navy blue,No,880,220,blue,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cute,everyday; comfy,fs
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,cream,No,880,220,beige,beige,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cute,everyday; comfy,fs
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,green,No,-1,500,green,green,Gulliver,,simple,everyday; formal,nfs
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,blue,No,-1,500,blue,light blue,Gulliver,,simple,everyday; formal,nfs
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,red,No,-1,500,red,pink,Gulliver,,simple,everyday; formal,nfs
ancient administrator hat,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,black,No,-1,800,black,black,Gulliver,,elegant,formal; work,nfs
apple hat,https://acnhcdn.com/latest/ClosetIcon/CapHatApple0.png,red,Yes,-1,1000,red,yellow,Crafting,,cute,fairy tale; party; theatrical,nfs
aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan0.png,white,No,880,220,white,white,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy; comfy,fs
aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan1.png,red,No,880,220,red,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy; comfy,fs
aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan2.png,blue,No,880,220,blue,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy; comfy,fs
aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan3.png,green,No,880,220,green,green,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy; comfy,fs
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet0.png,baby mint,No,560,140,light blue,white,Able Sisters,Available from Able Sisters shop only,cute,comfy,fs
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet1.png,baby purple,No,560,140,pink,white,Able Sisters,Available from Able Sisters shop only,cute,comfy,fs
