Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,SpeakerType,LightingType,Catalog,Filename,VariantID,InternalID,UniqueEntryID
acoustic guitar,https://acnhcdn.com/acdb/housewares/FtrAcorsticguitar_Remake_0_0.png,Natural,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Beige,Brown,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP
acoustic guitar,https://acnhcdn.com/acdb/housewares/FtrAcorsticguitar_Remake_1_0.png,Cherry,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Red,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR
acoustic guitar,https://acnhcdn.com/acdb/housewares/FtrAcorsticguitar_Remake_2_0.png,Brown,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Brown,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr
acoustic guitar,https://acnhcdn.com/acdb/housewares/FtrAcorsticguitar_Remake_3_0.png,Blue,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Blue,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj
acoustic guitar,https://acnhcdn.com/acdb/housewares/FtrAcorsticguitar_Remake_4_0.png,White,Body,NA,NA,Yes,Yes,No,5,NFS,3210,White,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF
acoustic guitar,https://acnhcdn.com/acdb/housewares/FtrAcorsticguitar_Remake_5_0.png,Black,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Black,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m
acoustic guitar,https://acnhcdn.com/acdb/housewares/FtrAcorsticguitar_Remake_6_0.png,Pink,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Pink,White,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B
air circulator,https://acnhcdn.com/acdb/housewares/FtrCirculator_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1100,275,White,White,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM
air circulator,https://acnhcdn.com/acdb/housewares/FtrCirculator_Remake_1_0.png,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F
air circulator,https://acnhcdn.com/acdb/housewares/FtrCirculator_Remake_2_0.png,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,Pink,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa
