Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Source,SourceNotes,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,Catalog
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_0_0.png,natural,body,na,na,Yes,Yes,No,5,-1,3210,beige,brown,Crafting,,music,None,None,None,Yes,musical instrument,nfs
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_1_0.png,cherry,body,na,na,Yes,Yes,No,5,-1,3210,red,black,Crafting,,music,None,None,None,Yes,musical instrument,nfs
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_2_0.png,brown,body,na,na,Yes,Yes,No,5,-1,3210,brown,black,Crafting,,music,None,None,None,Yes,musical instrument,nfs
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_3_0.png,blue,body,na,na,Yes,Yes,No,5,-1,3210,blue,black,Crafting,,music,None,None,None,Yes,musical instrument,nfs
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_4_0.png,white,body,na,na,Yes,Yes,No,5,-1,3210,white,black,Crafting,,music,None,None,None,Yes,musical instrument,nfs
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_5_0.png,black,body,na,na,Yes,Yes,No,5,-1,3210,black,black,Crafting,,music,None,None,None,Yes,musical instrument,nfs
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_6_0.png,pink,body,na,na,Yes,Yes,No,5,-1,3210,pink,white,Crafting,,music,None,None,None,Yes,musical instrument,nfs
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png,white,na,na,na,No,No,No,-1,1100,275,white,white,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,fan,fs
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_1_0.png,black,na,na,na,No,No,No,-1,1100,275,black,gray,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,fan,fs
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_2_0.png,pink,na,na,na,No,No,No,-1,1100,275,pink,pink,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,fan,fs
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_3_0.png,green,na,na,na,No,No,No,-1,1100,275,green,gray,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,fan,fs
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_4_0.png,yellow,na,na,na,No,No,No,-1,1100,275,yellow,gray,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,fan,fs
alto saxophone,https://acnhcdn.com/latest/FtrIcon/FtrAltosax.png,na,na,na,na,No,No,No,-1,3400,850,yellow,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",music,None,None,None,Yes,musical instrument,fs
anatomical model,https://acnhcdn.com/latest/FtrIcon/FtrAnatomicalmodel.png,na,na,na,na,No,No,No,-1,3500,875,colorful,beige,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,expensive,None,None,No,hospital,fs
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_0_0.png,black,color,na,na,No,Yes,No,2,-1,1400,black,beige,Fishing Tourney,,ocean,None,None,None,No,seaside,nfs
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_1_0.png,silver,color,na,na,No,Yes,No,2,-1,1400,gray,beige,Fishing Tourney,,ocean,None,None,None,No,seaside,nfs
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_2_0.png,gold,color,na,na,No,Yes,No,2,-1,1400,brown,beige,Fishing Tourney,,ocean,None,None,None,No,seaside,nfs
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_3_0.png,white,color,na,na,No,Yes,No,2,-1,1400,white,beige,Fishing Tourney,,ocean,None,None,None,No,seaside,nfs
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_4_0.png,blue,color,na,na,No,Yes,No,2,-1,1400,blue,white,Fishing Tourney,,ocean,None,None,None,No,seaside,nfs
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_5_0.png,retro,color,na,na,No,Yes,No,2,-1,1400,brown,gray,Fishing Tourney,,ocean,None,None,None,No,seaside,nfs
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_0_0.png,home,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_1_0.png,forest,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_2_0.png,fishing spot,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_3_0.png,resident services,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_4_0.png,airport,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
