Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,Catalog,Filename,VariantID,InternalID,UniqueEntry ID
accessories stand,https://acnhcdn.com/acdb/miscellaneous/FtrJewelrystand_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1500,375,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,For sale,FtrJewelrystand_Remake_0_0,0_0,3948,GWNqLnfaoEkGSFFkF
accessories stand,https://acnhcdn.com/acdb/miscellaneous/FtrJewelrystand_Remake_1_0.png,Pink,NA,NA,NA,No,No,No,NA,1500,375,Pink,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,For sale,FtrJewelrystand_Remake_1_0,1_0,3948,Sg24qRStpGERdwjyn
accessories stand,https://acnhcdn.com/acdb/miscellaneous/FtrJewelrystand_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,1500,375,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,For sale,FtrJewelrystand_Remake_2_0,2_0,3948,e5hQbi4JvpYYtRSM7
accessories stand,https://acnhcdn.com/acdb/miscellaneous/FtrJewelrystand_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,1500,375,Brown,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,For sale,FtrJewelrystand_Remake_3_0,3_0,3948,BXBsfGQsnNfJqkQjm
accessories stand,https://acnhcdn.com/acdb/miscellaneous/FtrJewelrystand_Remake_4_0.png,Light blue,NA,NA,NA,No,No,No,NA,1500,375,Light blue,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,No,Beauty,For sale,FtrJewelrystand_Remake_4_0,4_0,3948,jfpXGQCTjbg65PCD9
ACNH Nintendo Switch,https://acnhcdn.com/acdb/miscellaneous/FtrSwitchAC.png,NA,NA,NA,NA,No,No,No,NA,35960,8990,Green,Light blue,1x1,"Nintendo
Nook Shopping",,1.1.0,child's room,living room,None,None,No,Game Console,For sale,FtrSwitchAC,NA,12579,4AgPRnxhoQ922pQ4M
agrias butterfly model,https://acnhcdn.com/acdb/miscellaneous/FtrInsectMiirotatehaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Pink,Purple,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Not for sale,FtrInsectMiirotatehaToy,NA,7080,6SKoKnXhrf2dk6JZb
aluminum briefcase,https://acnhcdn.com/acdb/miscellaneous/FtrDuralumincase_Remake_0_0.png,Stacks of cash,NA,NA,NA,No,No,No,NA,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,None,None,Yes,Office,For sale,FtrDuralumincase_Remake_0_0,0_0,7453,7ovsY7XPNCW3YQAJA
aluminum briefcase,https://acnhcdn.com/acdb/miscellaneous/FtrDuralumincase_Remake_1_0.png,Gold bars,NA,NA,NA,No,No,No,NA,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,None,None,Yes,Office,For sale,FtrDuralumincase_Remake_1_0,1_0,7453,Yympao5irjJgMNW6d
amp,https://acnhcdn.com/acdb/miscellaneous/FtrAmp_Remake_0_0.png,Black,NA,NA,NA,No,No,No,NA,5100,1275,Black,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,For sale,FtrAmp_Remake_0_0,0_0,849,p7Drmf7Jh2eNhbcos
amp,https://acnhcdn.com/acdb/miscellaneous/FtrAmp_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,5100,1275,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,For sale,FtrAmp_Remake_1_0,1_0,849,MyyKQjQLoNwRBxotN
amp,https://acnhcdn.com/acdb/miscellaneous/FtrAmp_Remake_2_0.png,Orange,NA,NA,NA,No,No,No,NA,5100,1275,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,For sale,FtrAmp_Remake_2_0,2_0,849,RvK5HfWmj3JiarEuv
amp,https://acnhcdn.com/acdb/miscellaneous/FtrAmp_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,5100,1275,Brown,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,For sale,FtrAmp_Remake_3_0,3_0,849,tBcdytBjuxSm9d2fZ
amp,https://acnhcdn.com/acdb/miscellaneous/FtrAmp_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,5100,1275,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,For sale,FtrAmp_Remake_4_0,4_0,849,AmLfDtSibYyBDrMmY
amp,https://acnhcdn.com/acdb/miscellaneous/FtrAmp_Remake_5_0.png,Red,NA,NA,NA,No,No,No,NA,5100,1275,Red,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,For sale,FtrAmp_Remake_5_0,5_0,849,9PHmPyxF6fjKgGzKA
amp,https://acnhcdn.com/acdb/miscellaneous/FtrAmp_Remake_6_0.png,Pink,NA,NA,NA,No,No,No,NA,5100,1275,Pink,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,For sale,FtrAmp_Remake_6_0,6_0,849,yivR6nwwzFWyQ5ogM
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_0_0.png,Red,NA,NA,NA,No,No,No,NA,1100,275,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_0_0,0_0,3993,6WMJcEFXoWt9mmtvE
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_1_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_1_0,1_0,3993,YfYgj2jXPy6sip9Qu
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_2_0.png,Green,NA,NA,NA,No,No,No,NA,1100,275,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_3_0.png,Blue,NA,NA,NA,No,No,No,NA,1100,275,Blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_4_0.png,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_5_0.png,Ivory,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_6_0.png,Light blue,NA,NA,NA,No,No,No,NA,1100,275,Light blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C
analog kitchen scale,https://acnhcdn.com/acdb/miscellaneous/FtrWeighing_Remake_7_0.png,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,For sale,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g
anchovy model,https://acnhcdn.com/acdb/miscellaneous/FtrFishAntyobiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,600,Blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Not for sale,FtrFishAntyobiToy,NA,6999,jqs5hyDDgiozw7D6W
angelfish model,https://acnhcdn.com/acdb/miscellaneous/FtrFishAngelfishToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Not for sale,FtrFishAngelfishToy,NA,6933,c68YashL9kXvfwLp4
ant farm,https://acnhcdn.com/acdb/miscellaneous/FtrInsectAriFarm.png,NA,NA,NA,NA,No,No,No,NA,1400,350,Green,Brown,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,child's room,None,None,No,Special Insect,For sale,FtrInsectAriFarm,NA,11866,nuqhnEuJinwzRrp2z
ant model,https://acnhcdn.com/acdb/miscellaneous/FtrInsectAriToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,240,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Not for sale,FtrInsectAriToy,NA,7053,pvyXsn72duZvP5csK
anthurium plant,https://acnhcdn.com/acdb/miscellaneous/FtrPlantAnthurium_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,For sale,FtrPlantAnthurium_Remake_0_0,0_0,3949,BfZjDAavNeyem3bFX
anthurium plant,https://acnhcdn.com/acdb/miscellaneous/FtrPlantAnthurium_Remake_1_0.png,Brown,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,For sale,FtrPlantAnthurium_Remake_1_0,1_0,3949,8r8yH5cDR9D94dWE2
anthurium plant,https://acnhcdn.com/acdb/miscellaneous/FtrPlantAnthurium_Remake_2_0.png,Light blue,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,For sale,FtrPlantAnthurium_Remake_2_0,2_0,3949,9WXR8N8LWcLgcbuTq
anthurium plant,https://acnhcdn.com/acdb/miscellaneous/FtrPlantAnthurium_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,990,247,Pink,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,For sale,FtrPlantAnthurium_Remake_3_0,3_0,3949,eRvZ8pBJ2gMbQXTTC
anthurium plant,https://acnhcdn.com/acdb/miscellaneous/FtrPlantAnthurium_Remake_4_0.png,Black,NA,NA,NA,No,No,No,NA,990,247,White,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,For sale,FtrPlantAnthurium_Remake_4_0,4_0,3949,X5WqEpcbqAunjxS4f
arapaima model,https://acnhcdn.com/acdb/miscellaneous/FtrFishPirarukuToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Black,Black,2x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Not for sale,FtrFishPirarukuToy,NA,7006,mYrf2qXTygc8GphQC
aroma pot,https://acnhcdn.com/acdb/miscellaneous/FtrAlomapot_Remake_0_0.png,White,Variation,NA,NA,Yes,Yes,No,1,NFS,600,White,Light blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Not for sale,FtrAlomapot_Remake_0_0,0_0,1753,6AqmYqJXkqoYTfJej
aroma pot,https://acnhcdn.com/acdb/miscellaneous/FtrAlomapot_Remake_1_0.png,Brown,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Brown,Orange,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Not for sale,FtrAlomapot_Remake_1_0,1_0,1753,kv6phyzaTZRerstP4
aroma pot,https://acnhcdn.com/acdb/miscellaneous/FtrAlomapot_Remake_2_0.png,Green,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Green,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Not for sale,FtrAlomapot_Remake_2_0,2_0,1753,QQLoouuttf58T3ufJ
