Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Source,SourceNotes,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,Catalog
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_0_0.png,white,na,na,na,No,No,No,-1,1500,375,white,colorful,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,beauty,For sale
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_1_0.png,pink,na,na,na,No,No,No,-1,1500,375,pink,colorful,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,beauty,For sale
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_2_0.png,black,na,na,na,No,No,No,-1,1500,375,black,colorful,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,beauty,For sale
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_3_0.png,brown,na,na,na,No,No,No,-1,1500,375,brown,colorful,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,beauty,For sale
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_4_0.png,light blue,na,na,na,No,No,No,-1,1500,375,light blue,colorful,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,beauty,For sale
acnh nintendo switch,https://acnhcdn.com/latest/FtrIcon/FtrSwitchAC.png,na,na,na,na,No,No,No,-1,35960,8990,green,light blue,"Nintendo
Nook Shopping",,child's room,living room,None,None,No,game console,For sale
agrias butterfly model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaToy.png,na,na,na,na,No,No,No,-1,-1,9000,pink,purple,Flick,Trade 3 insects to receive a model in the mail the next day,None,None,None,None,No,insect,Not for sale
aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_0_0.png,stacks of cash,na,na,na,No,No,No,-1,100000,25000,gray,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,expensive,None,None,Yes,office,For sale
aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_1_0.png,gold bars,na,na,na,No,No,No,-1,100000,25000,gray,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,expensive,None,None,Yes,office,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_0_0.png,black,na,na,na,No,No,No,-1,5100,1275,black,brown,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,musical instrument,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_1_0.png,white,na,na,na,No,No,No,-1,5100,1275,white,gray,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,musical instrument,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_2_0.png,orange,na,na,na,No,No,No,-1,5100,1275,orange,black,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,musical instrument,For sale
