Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,HHAConcept1,HHAConcept2,HHA Series,HHASet,Interact,Tag,Catalog,Filename,VariantID,InternalID,UniqueEntryID
air conditioner,https://acnhcdn.com/acdb/wall-mounted/FtrAirconditioner_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,63000,15750,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,For sale,FtrAirconditioner_Remake_0_0,0_0,929,7EpH4QiWWq6i7j4yp
air conditioner,https://acnhcdn.com/acdb/wall-mounted/FtrAirconditioner_Remake_1_0.png,Gray,NA,NA,NA,No,No,No,NA,63000,15750,Gray,Gray,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,For sale,FtrAirconditioner_Remake_1_0,1_0,929,iWBEC2WbBHnk4ikm3
air conditioner,https://acnhcdn.com/acdb/wall-mounted/FtrAirconditioner_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,63000,15750,Black,Black,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,For sale,FtrAirconditioner_Remake_2_0,2_0,929,wPNpj6gofFKDMneeS
air conditioner,https://acnhcdn.com/acdb/wall-mounted/FtrAirconditioner_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,63000,15750,Pink,Pink,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,For sale,FtrAirconditioner_Remake_3_0,3_0,929,SyG8yuDJjnxjRRAYJ
air conditioner,https://acnhcdn.com/acdb/wall-mounted/FtrAirconditioner_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,63000,15750,Light blue,Light blue,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,For sale,FtrAirconditioner_Remake_4_0,4_0,929,fBngP3empPftMfnsB
air conditioner,https://acnhcdn.com/acdb/wall-mounted/FtrAirconditioner_Remake_5_0.png,Brown,NA,NA,NA,No,No,No,NA,63000,15750,Brown,Brown,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Air Conditioning,For sale,FtrAirconditioner_Remake_5_0,5_0,929,B5d8BvAPL6TJeYMZB
antique phone,https://acnhcdn.com/acdb/wall-mounted/FtrAntiquePhoneW_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,16000,4000,Brown,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Home Appliances,For sale,FtrAntiquePhoneW_Remake_0_0,0_0,3953,hJBB3R4NDJrTGhQK7
antique phone,https://acnhcdn.com/acdb/wall-mounted/FtrAntiquePhoneW_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,16000,4000,Beige,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Home Appliances,For sale,FtrAntiquePhoneW_Remake_1_0,1_0,3953,6EomSi8yTfRRCoxwn
antique phone,https://acnhcdn.com/acdb/wall-mounted/FtrAntiquePhoneW_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,16000,4000,Black,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Home Appliances,For sale,FtrAntiquePhoneW_Remake_2_0,2_0,3953,SSHmqTAWCt99jDNq8
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_0_0.png,Signature,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_0_0,0_0,1899,HpebEX4QbjWeQGmPb
