Name,Image,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,HHAConcept1,HHAConcept2,Tag,Catalog
aluminum rug,https://acnhcdn.com/latest/FtrIcon/RugRectAluminumM00.png,No,1500,375,gray,gray,Saharah,Medium rug,garden,outdoors,slender rugs,fs
apple rug,https://acnhcdn.com/latest/FtrIcon/RugOtherAppleM00.png,Yes,-1,1200,red,red,Crafting,Medium rug,fancy,child's room,fruit rugs,nfs
bell-bag rug,https://acnhcdn.com/latest/FtrIcon/RugOtherBellM00.png,No,-1,6000,none,none,Nook Miles Shop,Medium rug,expensive,None,park rugs,nfs
black blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM03.png,No,1500,375,black,gray,Saharah,Medium rug,living room,None,pattern rugs,fs
black wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM03.png,No,1500,375,black,black,Saharah,Medium rug,outdoors,None,wood rugs,fs
black-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS03.png,No,1000,250,black,orange,Saharah,Small rug,kitchen,None,kitchen rugs,fs
blue argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL02.png,No,2000,500,blue,green,Saharah,Large rug,living room,expensive,slender pattern rugs,fs
blue blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM01.png,No,1500,375,blue,blue,Saharah,Medium rug,living room,None,pattern rugs,fs
blue dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL03.png,No,2000,500,blue,blue,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
blue kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL01.png,No,2000,500,blue,black,Saharah,Large rug,living room,None,pattern rugs,fs
blue kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS02.png,No,1000,250,blue,blue,Saharah,Small rug,kitchen,None,kitchen rugs,fs
blue medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM02.png,No,1500,375,blue,blue,Saharah,Medium rug,living room,child's room,shaggy round rugs,fs
blue message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS01.png,No,1000,250,blue,blue,Saharah,Small rug,child's room,None,message mats,fs
