Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Style,LabelThemes,Catalog
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png,brown,No,2640,660,brown,brown,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; fairy tale,fs
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png,black,No,2640,660,black,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; fairy tale,fs
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png,greige,No,2640,660,beige,beige,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; fairy tale,fs
armor shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png,gray,Yes,-1,3000,gray,gray,Crafting,,cool,fairy tale; goth,nfs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush0.png,blue,No,560,140,light blue,white,Kicks,,cute,comfy; vacation,fs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png,orange,No,560,140,orange,white,Kicks,,cute,comfy; vacation,fs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png,pink,No,560,140,pink,white,Kicks,,cute,comfy; vacation,fs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png,yellow,No,560,140,yellow,white,Kicks,,cute,comfy; vacation,fs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png,gray,No,560,140,gray,yellow,Kicks,,cute,comfy; vacation,fs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush5.png,purple,No,560,140,purple,yellow,Kicks,,cute,comfy; vacation,fs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png,mint,No,560,140,green,yellow,Kicks,,cute,comfy; vacation,fs
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png,red,No,560,140,red,yellow,Kicks,,cute,comfy; vacation,fs
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet0.png,pink,No,2200,550,pink,pink,Kicks,,elegant,fairy tale; sporty; theatrical; work,fs
ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet1.png,mint,No,2200,550,light blue,light blue,Kicks,,elegant,fairy tale; sporty; theatrical; work,fs
