Name,Image,Variation,BodyTitle,DIY,Customize,KitCost,Uses,Buy,Sell,Set,Source,SourceNotes
axe,https://acnhcdn.com/latest/FtrIcon/ToolAxe.png,NA,NA,Yes,No,-1,100,2500,625,None,Nook's Cranny; Crafting,
bamboo wand,https://acnhcdn.com/latest/FtrIcon/ToolStickBamboo.png,NA,NA,Yes,No,-1,-1,-1,3900,None,Crafting,Spring seasonal DIY using bamboo (from bamboo trees)
bug wand,https://acnhcdn.com/latest/FtrIcon/ToolStcikInsect.png,NA,NA,No,No,-1,-1,-1,1500,None,Bug-Off,
Bunny Day wand,https://acnhcdn.com/latest/FtrIcon/ToolStickEgg.png,NA,NA,Yes,No,-1,-1,-1,11100,None,Crafting,Obtained from Zipper on Bunny Day after collecting most Bunny Day recipes (third gift)
cherry-blossom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCherryblossom.png,NA,NA,Yes,No,-1,-1,-1,2700,None,Crafting,
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_0_0.png,Yellow,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_1_0.png,Orange,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_2_0.png,Light blue,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_3_0.png,Pink,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_4_0.png,Green,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_5_0.png,Purple,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_6_0.png,White,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_7_0.png,Gray,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_0_0.png,Yellow & orange,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_1_0.png,Red & yellow,Color,No,Yes,1,30,2500,625,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
