Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,Label Themes,Catalog,Filename,InternalID,UniqueEntryID
baggy shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLoose0.png,Gray,No,0,10,Gray,Gray,1x1,Recycle bin,,1.0.0,Simple,goth; comfy,Not for sale,TopsTexTopTshirtsLLoose0,4710,LCtayENx9EyLYa4Za
baggy shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLoose1.png,Black,No,0,10,Black,Black,1x1,Recycle bin,,1.0.0,Simple,goth; comfy,Not for sale,TopsTexTopTshirtsLLoose1,8554,7ffsMJC98YG5kro2L
baggy shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLoose2.png,Brown,No,0,10,Brown,Brown,1x1,Recycle bin,,1.0.0,Simple,goth; comfy,Not for sale,TopsTexTopTshirtsLLoose2,8555,zKcqFuTkyBr7coxfb
bug aloha shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsHInsect0.png,NA,No,0,240,Black,Red,1x1,Bug-Off,,1.0.0,Cool,comfy; vacation,Not for sale,TopsTexTopYshirtsHInsect0,8764,2QNcM4zFTsb93fzeP
DAL apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatHDal0.png,NA,No,0,1010,Blue,White,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Simple,vacation; work,Not for sale,TopsTexTopCoatHDal0,12126,YXGkXoivMwd63Zwee
DAL pilot jacket,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLDal0.png,NA,No,0,1010,Green,Green,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Cool,outdoorsy; vacation; work,Not for sale,TopsTexTopOuterLDal0,12127,ZzrKeN4mByPJgGRgw
DAL tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHDal0.png,NA,No,0,1010,Blue,White,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,Simple,everyday; comfy; vacation,Not for sale,TopsTexTopTshirtsHDal0,12125,QXjGuLvD5TbT8kqM5
fish-print tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHFish0.png,NA,No,0,160,Beige,Yellow,1x1,Fishing Tourney,,1.0.0,Simple,everyday; comfy,Not for sale,TopsTexTopTshirtsHFish0,8765,SebBDo7mypSMwQxhL
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother0.png,M,No,0,88,Orange,Light blue,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother0,8762,gZKjD2pR5EiTKmBJM
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother1.png,Flowers,No,0,88,Beige,Colorful,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother1,9614,ffv3duiGErC2pmLFQ
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother2.png,Star,No,0,88,Green,Colorful,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother2,12141,C7nmv5RonXp3zjnxe
