Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Style,LabelThemes,Catalog
a tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHAce0.png,na,No,560,140,blue,white,Nook Shopping Catalog,,simple,everyday; comfy,fs
acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical0.png,blue,No,1680,420,blue,blue,Able Sisters,Available from Able Sisters shop only,simple,everyday; outdoorsy,fs
acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical1.png,black,No,1680,420,black,black,Able Sisters,Available from Able Sisters shop only,simple,everyday; outdoorsy,fs
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen0.png,black,No,1050,262,black,red,Able Sisters,Available from Able Sisters shop only,cool,everyday; comfy,fs
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen1.png,berry red,No,1050,262,red,green,Able Sisters,Available from Able Sisters shop only,cool,everyday; comfy,fs
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen2.png,green,No,1050,262,green,yellow,Able Sisters,Available from Able Sisters shop only,cool,everyday; comfy,fs
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen3.png,white,No,1050,262,white,black,Able Sisters,Available from Able Sisters shop only,cool,everyday; comfy,fs
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen4.png,purple,No,1050,262,purple,blue,Able Sisters,Available from Able Sisters shop only,cool,everyday; comfy,fs
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen5.png,gray,No,1050,262,gray,white,Able Sisters,Available from Able Sisters shop only,cool,everyday; comfy,fs
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen6.png,blue,No,1050,262,blue,purple,Able Sisters,Available from Able Sisters shop only,cool,everyday; comfy,fs
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal0.png,blue,No,2320,580,blue,light blue,Able Sisters,Available from Able Sisters shop only,cute,everyday,fs
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal1.png,green,No,2320,580,green,green,Able Sisters,Available from Able Sisters shop only,cute,everyday,fs
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal2.png,purple,No,2320,580,purple,purple,Able Sisters,Available from Able Sisters shop only,cute,everyday,fs
animal-print coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal3.png,pink,No,2320,580,pink,pink,Able Sisters,Available from Able Sisters shop only,cute,everyday,fs
animal-stripes tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe0.png,tiger,No,960,240,yellow,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday; comfy,fs
animal-stripes tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe1.png,zebra,No,960,240,gray,black,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,cool,everyday; comfy,fs
annyeong tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHHellokr0.png,na,No,640,160,light blue,white,Nook Shopping Catalog,,simple,everyday; comfy,fs
anorak jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak0.png,camel,No,1400,350,beige,beige,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy,fs
anorak jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak1.png,red,No,1400,350,red,red,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy,fs
anorak jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak2.png,blue,No,1400,350,blue,blue,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,simple,everyday; outdoorsy,fs
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron0.png,orange,No,840,210,orange,white,Able Sisters,Available from Able Sisters shop only,simple,everyday; work,fs
apron,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron1.png,green,No,840,210,green,white,Able Sisters,Available from Able Sisters shop only,simple,everyday; work,fs
