Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Source,SourceNotes,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,Catalog
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_0_0.png,white,na,na,na,No,No,No,-1,63000,15750,white,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,air conditioning,fs
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_1_0.png,gray,na,na,na,No,No,No,-1,63000,15750,gray,gray,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,air conditioning,fs
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_2_0.png,black,na,na,na,No,No,No,-1,63000,15750,black,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,air conditioning,fs
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_3_0.png,pink,na,na,na,No,No,No,-1,63000,15750,pink,pink,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,air conditioning,fs
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_4_0.png,blue,na,na,na,No,No,No,-1,63000,15750,light blue,light blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,air conditioning,fs
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_5_0.png,brown,na,na,na,No,No,No,-1,63000,15750,brown,brown,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Yes,air conditioning,fs
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_0_0.png,brown,na,na,na,No,No,No,-1,16000,4000,brown,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,home appliances,fs
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_1_0.png,natural,na,na,na,No,No,No,-1,16000,4000,beige,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,home appliances,fs
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_2_0.png,black,na,na,na,No,No,No,-1,16000,4000,black,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,home appliances,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_0.png,signature,na,musician's signature,signature,No,No,Yes,1,1400,350,white,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_1.png,signature,na,comedian's signature,signature,No,No,Yes,1,1400,350,white,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_0.png,handprints,na,musician's signature,signature,No,No,Yes,1,1400,350,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_1.png,handprints,na,comedian's signature,signature,No,No,Yes,1,1400,350,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_0.png,illustration,na,musician's signature,signature,No,No,Yes,1,1400,350,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_1.png,illustration,na,comedian's signature,signature,No,No,Yes,1,1400,350,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_0.png,words of wisdom,na,musician's signature,signature,No,No,Yes,1,1400,350,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_1.png,words of wisdom,na,comedian's signature,signature,No,No,Yes,1,1400,350,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,study,fs
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_0_0.png,green bamboo,bamboo,na,na,Yes,Yes,No,1,-1,160,green,red,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),zen-style,None,bamboo,None,No,plants,nfs
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_1_0.png,dried bamboo,bamboo,na,na,Yes,Yes,No,1,-1,160,yellow,red,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),zen-style,None,bamboo,None,No,plants,nfs
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_2_0.png,smoke-cured bamboo,bamboo,na,na,Yes,Yes,No,1,-1,160,brown,green,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),zen-style,None,bamboo,None,No,plants,nfs
